line	method	op_start	op_end	vtt_start	text
57	cover	04:37.21	04:40.54	04:26.60	お… 俺は別に何も取ってねえぞ\N俺は何も知らねえ
58	cover	04:40.57	04:42.86	04:29.94	あ？ 何 言ってんだ？ お前
59	cover	04:42.95	04:44.37	04:32.36	ああ いや その…
60	-	-	-	04:35.02	ハア…
61	cover	04:47.81	04:51.61	04:37.53	おめえ いずれこの船を\N下りるって言ってたよな
62	cover	04:51.75	04:53.42	04:41.49	下りてどうするつもりだ？
63	cover	04:53.61	04:55.24	04:43.49	自分の船を持つんだ
64	cover	04:55.53	04:58.91	04:45.24	信頼できる仲間を集めて\N世界を見て回ろうと思ってる
65	cover	04:58.95	05:00.79	04:48.75	ゆっくり時間をかけてな
66	cover	05:00.87	05:03.21	04:50.71	もちろん 海賊としてだ
67	cover	05:03.57	05:05.88	04:52.67	相変わらず\N甘ったれたこと言ってやがる
68	cover	05:05.91	05:06.81	04:55.71	何だと？
69	cover	05:06.91	05:09.95	04:56.63	俺はてめえの\N戦闘の腕だけは買ってんだ
70	cover	05:10.19	05:11.70	04:59.80	その甘えとこさえなけりゃ―
71	cover	05:11.73	05:13.72	05:01.72	部下にしてやっても\Nよかったんだがな
72	cover	05:13.75	05:16.53	05:03.80	お前の部下だと？ ふざけんな
73	-	-	-	05:06.10	ああ？
74	cover	05:18.17	05:22.55	05:08.02	考え方が違うんだから\N別々の道を好きに行きゃいいんだ
75	cover	05:22.83	05:24.33	05:12.52	それが海賊だ
76	-	-	-	05:13.90	フンッ\Nてめえが海賊を語るのかよ
77	cover	05:27.13	05:30.38	05:17.07	だが そうなりゃ\N海で会った時は殺し合いだぞ
78	cover	05:32.01	05:34.26	05:20.99	ああ それも海賊だな
79	cover	05:34.29	05:35.92	05:23.99	分かんねえ野郎だ
80	cover	05:37.15	05:38.10	05:26.91	ところでおめえ
81	cover	05:38.13	05:40.54	05:28.16	さっき戦利品が\Nどうとか言ってたよな？
82	cover	05:40.57	05:42.66	05:30.41	ああ 悪魔の実があったんだ
83	cover	05:42.69	05:43.83	05:32.50	“悪魔の実”？
84	cover	05:44.03	05:47.33	05:33.88	あれは海の悪魔の化身だって\N聞いたことがある
85	cover	05:47.47	05:50.82	05:37.30	食っちまったら悪魔の能力と\N引き換えに海に嫌われて―
86	cover	05:50.85	05:52.98	05:40.80	カナヅチになっちまうんだとよ
87	cover	05:53.63	05:56.30	05:43.18	そんなもん食うやつはバカだよ
88	cover	05:56.87	06:01.62	05:46.51	泳げなくなったら海底に眠る財宝も\N取りに行けねえじゃねえかよ
89	cover	06:01.65	06:02.87	05:51.43	それにしても―
90	cover	06:02.91	06:05.95	05:52.89	あんな物が売れば\N１億ベリーになるとはなあ…
91	-	-	-	05:56.06	ふーん
92	cover	06:08.51	06:09.26	05:58.44	何？
93	cover	06:10.59	06:14.73	06:00.44	海賊見習いバギー\N悪魔の実を食わせていただきます
94	cover+snap	06:14.76	06:19.06	06:04.70	ダッハハハッ いいねえ\N若いってのは 後先 考えないで
95	-	-	-	06:09.16	アーン
96	cover	06:24.33	06:27.32	06:14.46	どうした？ バギー\N体に何か変化あるか？
97	cover	06:27.35	06:29.43	06:17.50	いや 別に…
98	cover	06:29.55	06:31.09	06:19.30	何だ 偽物か…
99	cover	06:31.59	06:35.80	06:21.51	大体 悪魔の実なんて\Nうわさでしか知らねえからなあ
100	-	-	-	06:26.47	ニイッ
101	cover	06:38.29	06:41.12	06:27.89	やったーっ\N派手にうまくいった
102	cover	06:41.15	06:43.78	06:31.06	昼間 食ったのは\N俺が作った偽物だったのさ
103	interp1	06:43.98	06:46.53	06:33.81	こうもすんなりいくとはな\Nヒヒヒッ
104	cover	06:46.65	06:49.44	06:36.48	あとはバレねえうちに\N船を下りちまおう
105	cover	06:49.79	06:52.46	06:39.48	悪魔の実を売った金と\N地図の財宝があれば―
106	cover	06:52.49	06:55.58	06:42.49	今すぐにでも\N海賊団を結成できる
107	cover	06:56.09	06:59.09	06:45.99	おい バギー！\N何ニヤニヤしてんだ？
108	cover	06:59.25	07:01.12	06:49.12	何だ てめえか 脅かすなよ
109	cover	07:01.15	07:02.97	06:51.54	なんて顔してんだ
110	cover	07:04.17	07:07.51	06:54.00	盗み食いは ほどほどにしとけよ\Nコックさんに怒られるぜ
111	cover	07:08.25	07:09.73	06:58.25	危ねえ 危ねえ
112	cover	07:10.11	07:12.87	06:59.79	ああっ そういえば\Nさっき船長が…
113	interp1	07:16.12	07:18.46	07:06.22	かあっ ふがっ ふが…
114	cover	07:18.79	07:23.31	07:08.89	シャンクス\Nてめえ 俺の 俺の 俺は…
115	cover	07:24.71	07:25.66	07:14.35	何だ？ あの紙切れ
116	cover	07:25.69	07:28.47	07:15.77	アーッ 俺の地図！ アアッ
117	cover	07:28.77	07:30.27	07:18.60	おい バギー！
118	cover	07:32.27	07:34.82	07:22.44	何だ 体が動かねえ
119	cover+snap	07:35.80	07:40.22	07:25.86	カナヅチになるっての\N本当だったのか マズい…
120	cover	07:40.83	07:44.33	07:30.74	おい バギー 何やってんだ\N泳ぎは得意だろ？
121	cover	07:47.59	07:48.49	07:37.58	バギー！
122	cover	07:50.05	07:52.59	07:39.83	助けてくれ…
123	cover	07:52.65	07:55.57	07:42.55	今 助ける バギー！
124	interp1	07:58.03	08:01.83	07:48.09	ぐぬぬぬ…
125	cover+snap	08:04.92	08:07.46	07:54.97	へえ シャンクスが\N助けてくれたんか
126	cover	08:07.55	08:10.15	07:57.64	俺が言いてえのは\Nそこじゃねえだろ
127	cover	08:10.45	08:14.93	08:00.40	あいつのせいで俺の人生計画は\N一気に10年の遅れを取ったんだ
128	cover	08:15.37	08:18.10	08:05.28	そして俺は吹っ切れた\N海中がダメなら―
129	cover	08:18.13	08:20.78	08:07.94	地上のすべての財宝を\N手にしてやるってよお
130	cover	08:20.81	08:24.05	08:11.24	このバラバラの能力でな
131	cover	08:24.67	08:27.62	08:14.70	だから俺の財宝に\N手をかけるやつは―
132	cover	08:27.65	08:32.03	08:17.79	どんなやつだろうと\N絶対に生かしちゃおかーん
133	cover	08:34.23	08:35.86	08:24.17	俺の財宝を…\Nええ？
134	cover	08:35.89	08:39.44	08:26.46	離さねえか\Nしまった
135	cover	08:39.47	08:40.71	08:29.59	見つかった
136	-	-	-	08:31.68	あん？
137	cover	08:42.17	08:45.19	08:32.43	どこまでも\N出し抜けると思うなよ ナミ
138	cover	08:46.25	08:47.84	08:35.72	派手に切り刻んでやる
139	-	-	-	08:37.73	アハハハ… はうっ はは…
140	-	-	-	08:45.94	ふん
141	interp	09:00.66	09:01.91	08:52.95	股間…
142	interp	09:02.69	09:06.72	08:55.37	おっ 俺の… 股間 股間…
143	cover	09:06.75	09:09.13	09:00.21	お前の相手は まだ俺だ
144	cover	01:53.05	01:57.26	09:05.92	おかしい こんなに長く\N町長が帰ってこないなんて
145	cover	01:57.29	02:00.00	09:10.34	やっぱり\N町で何か起こってるのよ
146	cover	02:00.03	02:03.16	09:13.13	大砲の爆音だって\Nいつもより多いもの
147	cover	02:03.71	02:07.10	09:16.64	よし わしが町へ行ってくる\Nみんなはここで待て
148	cover	02:07.13	02:08.33	09:20.23	俺も行きます
149	rescue+snap	02:08.36	02:11.32	09:21.39	バカもん\N町におるのは海賊だぞ
150	cover	02:11.61	02:13.38	09:24.48	卑劣なバギー一味だ
151	cover	02:13.41	02:15.62	09:26.11	だからこそ\N一緒に行くんです
152	cover	02:15.65	02:20.07	09:28.73	町長１人の身も守れずに\N何が町民でしょうか
153	cover	02:20.27	02:24.57	09:33.36	止めてもムダですよ\Nすべて自発的な行動ですから
154	cover	02:25.95	02:27.33	09:38.95	勝手にせえ
155	cover	02:27.63	02:28.77	09:40.45	行こうぜ みんな
156	-	-	-	09:41.66	オオーッ
157	-	-	-	10:02.85	おい\Nうん？
158	cover	09:11.85	09:13.76	10:04.69	その宝を置いて\Nどっかに行ってろ
159	cover	09:13.95	09:15.43	10:06.94	また追いかけられるぞ
160	-	-	-	10:08.11	イヤッ
161	cover	09:16.63	09:19.56	10:09.27	宝を置いていけですって？\N絶対イヤッ
162	cover	09:19.59	09:22.43	10:12.45	なんで私の宝を\N置いてかなきゃならないの？
163	cover	09:22.97	09:25.22	10:15.91	てめえの宝だと？
164	cover	09:25.37	09:28.96	10:18.20	当ったり前でしょ\N海賊専門泥棒の私が―
165	cover	09:29.03	09:31.42	10:21.91	今 海賊から盗んだんだから
166	cover	09:32.27	09:35.82	10:25.00	この宝は\N私の物だって言ってんの
167	cover	09:36.00	09:38.13	10:28.79	ああっ なーるほど
168	cover	09:38.41	09:42.42	10:31.17	たわけ 俺の宝だ\N盗んじまえば―
169	cover	09:42.45	09:44.14	10:35.18	てめえのもんになると\N思ってんのか？
170	cover	09:44.17	09:48.01	10:37.26	…ったく 一体どういう教育\N受けてきたんだ
171	cover	09:48.51	09:51.94	10:41.31	悪党が悪党に説教する気？\Nバカバカしい
172	cover+snap	09:51.97	09:52.75	10:45.48	何？
173	-	-	-	10:46.48	うん？
174	cover	09:53.63	09:54.66	10:47.48	私はねえ
175	cover	09:54.69	09:58.79	10:48.61	海賊に間違いを正されるほど\N落ちぶれちゃいないわよ
176	-	-	-	10:52.57	くうっ ぐぬぬぬぬ…
177	cover	10:01.17	10:03.90	10:55.74	覚悟はできてんだろうな？ ナミ
178	cover	10:05.11	10:08.16	10:59.33	バラバラ…
179	-	-	-	11:02.70	あっ？
180	-	-	-	11:03.70	フェスティバル！
181	-	-	-	11:06.96	ああっ ああっ
182	cover+snap	10:13.74	10:17.78	11:08.17	ハハハハッ 仲間を\N援護できるもんならやってみろ
183	cover	10:17.81	10:18.60	11:12.34	ゴムゴム！
184	cover	10:18.63	10:22.76	11:13.30	クソッ もっとバラバラに\Nなりやがって… うん？
185	cover	10:24.03	10:25.11	11:18.47	何だ？
186	cover	10:25.66	10:26.67	11:20.01	ナミ
187	cover	10:27.57	10:29.37	11:21.93	俺の財宝を返せ
188	-	-	-	11:23.31	返さない
189	-	-	-	11:26.18	うん？
190	interp1	10:32.35	10:34.02	11:27.27	こちょこちょこちょ…
191	interp1	10:34.15	10:36.32	11:29.06	ダーハーハハハッ\Nうわああっ
192	-	-	-	11:31.40	いいーっ
193	interp1	10:38.11	10:39.82	11:33.02	くううーっ\Nキャアアーッ
194	cover	10:40.07	10:42.01	11:34.99	しぶといな このっ
195	interp1	10:42.04	10:43.55	11:36.57	ギャアーッ\Nキャーッ
196	cover	10:44.13	10:45.80	11:38.66	いいかげんにしろ
197	cover+snap	10:46.00	10:49.38	11:40.49	いいかげんにするのは\Nあんたよ
198	-	-	-	11:44.29	おおーっ
199	-	-	-	11:46.96	ヒイッ
200	-	-	-	11:48.12	ハッ
201	cover	10:55.45	10:57.75	11:49.75	財宝は返してもらったぞ
202	cover	10:59.53	11:01.61	11:53.80	離してよ\N離せだ？
203	-	-	-	11:56.01	これは俺の宝だって\Nつってんだろうがよ
204	rescue	11:04.55	11:09.85	11:58.51	離すのは てめえのほうだ
205	-	-	-	12:03.60	死ねえ\Nキャーッ
206	-	-	-	12:06.02	ハーッ…
207	cover	11:12.41	11:16.16	12:06.85	お前の相手は\N俺だって言ってんだろ
208	cover	11:42.03	11:45.49	12:36.59	今のとどめは\N町長のおっさんの蹴りだと思え
209	cover	11:47.93	11:49.40	12:42.14	あ… ありがと 助かったわ
210	cover	11:49.43	11:51.28	12:44.72	ああ 気にすんな
211	cover	11:51.31	11:53.51	12:48.60	あっ そうだ 海図！\N私の宝… ヒッ
212	cover	11:54.17	11:57.25	12:51.02	まだ終わっちゃいねえ\Nゴムゴム
213	cover	11:57.41	11:58.68	12:54.06	ゲッ まだ生きてる
214	cover	11:58.71	12:00.04	12:55.73	やかましい
215	cover	12:00.21	12:03.55	12:57.19	この俺様を派手に\Nこんな目に遭わせやがって
216	cover	12:03.83	12:05.96	13:00.70	ただじゃおかねえ
217	cover	12:06.89	12:09.43	13:03.78	集まれ バラバラパーツ
218	-	-	-	13:06.58	ダーン
219	cover	12:09.54	12:10.54	13:16.79	あれ？
220	cover	12:21.15	12:22.61	13:20.92	捜してるのは これ？
221	cover	12:23.37	12:24.66	13:22.26	ギャーッ 俺のパーツ
222	interp	12:24.69	12:28.65	13:24.05	ハハハハハハハッ\Nさすが泥棒
223	cover	12:28.99	12:30.61	13:28.39	あがっ ぐうっ…
224	interp	12:30.81	12:34.56	13:29.98	ぶっ飛べ バギー！\Nゴムゴムの…
225	-	-	-	13:33.98	ああっ…
226	cover	12:34.79	12:36.46	13:34.98	バズーカ
227	interp	12:49.32	12:53.04	13:48.62	勝った！ ワハハハハッ
228	cover	12:53.35	12:55.84	13:52.37	おい バギー船長が\N吹っ飛んじまった
229	cover	12:55.87	12:58.71	13:55.67	ど… どうすりゃいいんだ？\N俺たちは
230	cover	12:59.07	13:01.46	13:59.00	とりあえず気絶しとこう\Nそうしよう
231	cover	13:06.99	13:08.70	14:08.30	ボロボロになっちゃったね
232	cover	13:09.13	13:11.54	14:10.14	まっ いいさ\Nまだかぶれるし
233	cover	13:11.57	13:14.03	14:13.10	バギーも ぶっ飛ばしたから\N気は済んだ
234	cover	13:19.71	13:22.71	14:21.40	大丈夫よ\Nあとで私が直してあげるから
235	cover	13:22.74	13:23.64	14:24.53	あっ 何？
236	cover	13:23.67	13:25.13	14:25.82	何でもない
237	cover	13:25.49	13:28.81	14:27.45	ねえ それよりさ\N２個に分けたから半分 持ってよ
238	cover	13:28.89	13:31.04	14:30.79	重たくてたまんないわ
239	cover	13:31.07	13:32.51	14:33.08	ずいぶんあんだな
240	cover	13:32.67	13:33.52	14:34.62	バギーったら―
241	cover	13:33.55	13:37.14	14:35.54	さすがに財宝にこだわるだけあって\N宝の質がいいの
242	cover	13:37.35	13:40.40	14:39.25	これだけあれば\N1000万ベリーは下らないはずよ
243	cover	13:45.21	13:46.34	14:47.09	はい これ
244	cover	13:47.09	13:50.42	14:49.14	グランドラインの海図よ\N欲しかったんでしょ？
245	cover	13:50.45	13:51.33	14:52.27	くれんのか？
246	cover	13:51.39	13:52.68	14:53.27	助けてもらったしね
247	cover	13:52.71	13:54.97	14:54.77	おおっ サンキュー ナミ
248	cover	13:55.19	13:59.95	14:57.10	とうとう手に入った\Nグランドラインの海図 やった！
249	cover	14:00.23	14:03.56	15:02.19	あっ …ってことは\Nお前もこれで仲間になるんだな？
250	cover	14:03.67	14:06.76	15:05.57	海賊の仲間になんか\Nならないって言ったでしょ？
251	cover	14:07.83	14:09.00	15:09.83	まっ いいわ
252	cover	14:09.11	14:11.70	15:11.12	あんたたちといると\Nもうかりそうだしね
253	cover	14:11.99	14:16.00	15:14.00	言っとくけど 手を組むだけよ\Nよく覚えといてね
254	-	-	-	15:18.21	ああ
255	cover	14:20.03	14:24.53	15:21.96	おい ゾロ 起きろよ\Nゾーロ 行くぞ
256	-	-	-	15:26.59	んっ んんっ
257	cover	14:26.53	14:27.60	15:28.22	片は付いたのか？
258	cover	14:27.63	14:31.18	15:29.39	ああ 海図も宝も\N航海士も手に入れた
259	-	-	-	15:33.06	ああん？
260	-	-	-	15:34.48	ああ？
261	cover	14:36.25	14:39.32	15:38.19	ああ ダメだ 血が足りん\N歩けそうもねえ
262	cover	14:39.35	14:40.39	15:41.15	当たり前よ
263	cover	14:40.51	14:43.51	15:42.32	それで歩けたら\N人とは認めないわよ あんたたち
264	cover	14:43.63	14:45.24	15:45.44	なんで俺が入ってんだ？
265	cover	14:45.27	14:47.77	15:47.03	あんたが\N一番 疑わしいのよ
266	cover	14:47.81	14:49.94	15:49.66	それより町長さんを…
267	cover	14:50.05	14:51.22	15:51.91	あっ そうだ
268	cover	14:51.85	14:53.90	15:53.83	そろそろ おっさんも\N起こさなきゃな
269	cover	14:53.93	14:55.03	15:56.00	君たち！\Nうん？
270	cover	14:55.59	14:57.12	15:57.54	君たちは\Nよそから来たのか？
