line	method	op_start	op_end	vtt_start	text
411	cover	22:20.91	22:21.79	06:13.04	何？
412	cover	22:22.07	22:23.24	06:14.29	“ゴム人間”？
413	cover	22:23.47	22:24.81	06:15.58	うん ほら…
414	-	-	-	06:17.04	ヒッ
415	cover	22:26.19	22:27.94	06:18.13	悪魔の実を…
416	cover	22:28.01	22:31.51	06:20.05	どうりで\Nバギー玉も跳ね返すわけだ
417	-	-	-	06:24.13	うん？
418	cover	22:35.09	22:38.09	06:27.14	旗揚げ以来\N最大の屈辱ですねえ
419	cover+snap	22:39.41	22:40.45	06:31.52	船長
420	cover	22:40.48	22:42.32	06:32.60	おう カバジか
421	cover	22:42.65	22:44.76	06:34.81	俺は もう怒りで へも出ねえ
422	cover	22:44.79	22:48.20	06:37.48	カバジ てめえ\Nリッチーに何しやがった
423	cover	22:48.23	22:49.91	06:40.73	この猫か？
424	cover	22:50.23	22:53.32	06:42.36	俺の服が汚れるんで\N盾に使ってやった
425	cover+snap	22:54.46	22:56.13	06:46.61	ああっ リッチー！
426	cover	22:58.45	23:01.04	06:50.62	おい リッチー！\Nしっかりしろ 大丈夫か？
427	-	-	-	06:53.08	ガアッ…
428	-	-	-	06:58.17	リッチー？
429	cover	23:06.85	23:09.57	06:59.63	この スカシ野郎が
430	-	-	-	07:02.30	ハアッ…\Nふん
431	-	-	-	07:03.38	ワアーッ そこどけーっ
432	cover	23:12.85	23:15.59	07:06.22	お前が… どけーっ
433	-	-	-	07:08.51	たべっ…
434	-	-	-	07:11.10	ふんっ
435	-	-	-	07:13.60	バギー船長
436	-	-	-	07:15.77	何だ？ カバジ
437	-	-	-	07:17.60	ここは私に お任せください
438	interp1	23:17.22	23:20.26	07:20.15	よーし\N曲芸ショーを見せてやれ
439	-	-	-	07:23.36	フフンッ
440	-	-	-	07:26.95	ほおーっ\Nああっ
441	cover+snap1	23:26.56	23:29.18	07:29.49	参謀長 曲芸のカバジ
442	cover	23:29.31	23:33.98	07:32.24	バギー船長の怒り\Nこの私が請け負った
443	cover	23:36.29	23:38.71	07:38.71	剣の相手なら俺がする
444	cover	23:39.39	23:42.27	07:41.96	光栄だねえ ロロノア･ゾロ
445	cover+snap	23:42.93	23:46.35	07:45.55	１人の剣士として\Nお前を斬れるとは…
446	-	-	-	07:49.43	うん？
447	cover	23:48.89	23:49.92	07:51.60	おい ゾロ
448	cover	23:49.95	23:52.30	07:52.43	やっぱり休んでろよ\N俺がやるから
449	cover	23:52.33	23:54.43	07:55.10	口出し無用だ
450	cover	23:54.95	23:58.37	07:57.31	船長に刺された傷だな… バカが
451	cover	23:59.17	24:00.84	08:01.31	曲技 火事おやじ
452	interp1	24:01.44	24:04.61	08:03.44	おわっ ああっ ぐう…
453	-	-	-	08:07.32	ああっ\Nううっ
454	-	-	-	08:08.40	ダアッ
455	-	-	-	08:10.28	グアーッ
456	cover	24:11.03	24:14.66	08:13.03	何だ？ そんなに強く\N蹴ったつもりはないが
457	cover	24:14.81	24:17.75	08:17.12	汚いやつ 傷口を狙うなんて
458	-	-	-	08:20.58	ヒヒヒヒッ
459	cover	24:19.77	24:22.81	08:21.96	曲技 湯けむり殺人事件
460	cover	24:26.07	24:29.49	08:28.59	何が曲技だ\Nただの土ぼこりじゃねえか
461	-	-	-	08:33.64	ああっ…
462	-	-	-	08:36.31	ウワーッ
463	cover	24:35.41	24:36.63	08:37.98	あいつ また…
464	cover	24:38.47	24:42.52	08:40.81	どうした？ 大の男が\Nわめいてみっともないぞ
465	cover	24:43.27	24:45.90	08:45.69	どうだ 思い知ったか
466	cover	24:46.25	24:50.34	08:48.69	我々 バギー一味を\N敵にしたのは愚かだったな
467	-	-	-	08:55.95	あんな深手で戦うなんて\Nどうかしてる
468	cover	24:51.21	24:54.59	09:00.58	生きてるのが\N不思議なくらいのケガなのよ
469	cover	24:55.19	24:58.65	09:04.79	あんた 何 黙って見てんの\Nあいつ 殺されちゃうわ
470	cover	25:06.03	25:07.66	09:15.76	ロロノア･ゾロ…
471	cover	25:08.47	25:09.59	09:18.01	討ち取った
472	cover	25:10.59	25:12.47	09:20.10	うっとうしい野郎だ
473	cover	25:14.43	25:16.10	09:23.98	俺の傷をつつくのが…
474	cover	25:16.13	25:18.93	09:26.52	そんなに楽しいか？
475	-	-	-	09:30.24	んっ？\Nハッ
476	cover+snap	25:21.70	25:22.34	09:31.65	イテッ
477	-	-	-	09:35.37	フンッ
478	cover	25:28.09	25:30.18	09:37.53	な… なんで よけないのよ
479	cover	25:30.85	25:34.44	09:40.41	ハンディーは\Nこれっくらいで満足か？
480	cover	25:35.55	25:40.10	09:45.08	俺とお前の\N格の違いを教えてやるよ
481	-	-	-	09:49.96	うん？
482	cover+snap	25:41.39	25:43.39	09:50.92	うおーっ カッコいい
483	cover	25:44.77	25:46.98	09:54.30	これがロロノア･ゾロか…
484	cover	25:47.35	25:48.58	09:56.93	ナメやがって
485	cover	25:48.61	25:51.69	09:58.72	俺の剣が目指すのは世界一…
486	cover	25:52.69	25:54.18	10:02.14	剣士と名乗る野郎には―
487	cover	25:54.21	25:57.48	10:04.31	たった 一度でも\N敗れるわけにはいかねえ
488	cover	25:58.15	25:58.98	10:07.36	なるほど
489	cover	25:59.85	26:02.39	10:09.36	強い志の成せる技か
490	cover	26:03.31	26:05.39	10:12.82	だがまあ 安心しろ
491	cover	26:05.83	26:09.10	10:15.36	それだけの重傷で\N相手がこの俺とあっちゃ…
492	cover	26:09.13	26:11.92	10:19.24	負けの言い訳には十分だ
